ISIN,issuer,coupon_%,last_price,maturity_date,website_url,annual_interest,interest_buy_to_sell,interest_buy_to_maturity
AT0000A1XML2,"Österreich, Republik",2.1,72.73,2117-09-20,https://www.boerse-frankfurt.de/bond/AT0000A1XML2,105.0,105.0,9792.04
IT0005370306,"Italien, Republik",2.1,97.77,2026-07-15,https://www.boerse-frankfurt.de/bond/IT0005370306,105.0,105.0,211.44
IT0005274805,"Italien, Republik",2.05,95.94,2027-08-01,https://www.boerse-frankfurt.de/bond/IT0005274805,102.5,102.5,313.68
XS1167667283,Volkswagen International Finance N.V.,1.625,89.71,2030-01-16,https://www.boerse-frankfurt.de/bond/XS1167667283,81.25,81.25,448.77
IT0005090318,"Italien, Republik",1.5,97.8,2025-06-01,https://www.boerse-frankfurt.de/bond/IT0005090318,75.0,75.0,66.99
AT0000A1K9F1,"Österreich, Republik",1.5,72.05,2047-02-20,https://www.boerse-frankfurt.de/bond/AT0000A1K9F1,75.0,75.0,1697.26
DE000A169NC2,Mercedes-Benz Group AG,1.375,93.51,2028-05-11,https://www.boerse-frankfurt.de/bond/DE000A169NC2,68.75,68.75,263.89
XS1309529680,BNG Bank N.V.,1.375,90.57,2030-10-21,https://www.boerse-frankfurt.de/bond/XS1309529680,68.75,68.75,432.09
DE000A13SWG1,Deutsche Pfandbriefbank AG,1.25,79.46,2035-04-20,https://www.boerse-frankfurt.de/bond/DE000A13SWG1,62.5,62.5,673.97
XS1382784509,Coöperatieve Rabobank U.A.,1.25,96.49,2026-03-23,https://www.boerse-frankfurt.de/bond/XS1382784509,62.5,62.5,106.34
DE000BHY0GS9,Berlin Hyp AG,1.125,90.94,2027-10-25,https://www.boerse-frankfurt.de/bond/DE000BHY0GS9,56.25,56.25,185.24
ES0211845310,Abertis Infraestructuras S.A.,1.0,93.79,2027-02-27,https://www.boerse-frankfurt.de/bond/ES0211845310,50.0,50.0,131.78
XS1218821756,ABN AMRO Bank N.V.,1.0,97.47,2025-04-16,https://www.boerse-frankfurt.de/bond/XS1218821756,50.0,50.0,38.36
FR0013284908,Arkéa Home Loans SFH S.A.,0.75,92.42,2027-10-05,https://www.boerse-frankfurt.de/bond/FR0013284908,37.5,37.5,121.44
DE0001102390,"Deutschland, Bundesrepublik",0.5,96.255,2026-02-15,https://www.boerse-frankfurt.de/bond/DE0001102390,25.0,25.0,40.07
XS1720933297,KNAB N.V.,0.375,98.8,2024-11-21,https://www.boerse-frankfurt.de/bond/XS1720933297,18.75,18.75,6.88
