PRODUCT,SYMBOOL | ISIN,VALUTA,LAATST,+/-,+/- %,SLOT,LAAG,HOOG,LAATSTE,
KV,UC07 | XS0211568331,EUR,"% 83,00","-5,98","-6,72%","88,985","83,00","83,00",08:23:46,R
BK SCOTLAND 05/35FLR MTND,,,,,,,,,,
KV,BN0J | XS1309529680,EUR,"% 90,57","+0,22","+0,24%","90,345","90,57","90,57",08:23:46,R
BNG BK 15/30 MTNF,,,,,,,,,,
KV,CH0031409177,CHF,% —,—,—%,—,—,—,—,R
"BNG CHF 3,25%37F",,,,,,,,,,
KV,TPB | FR0000140063,EUR,% —,—,—%,"134,00",—,—,—,R
BNPPARTPFRND,,,,,,,,,,
KV,BNPAQ | FR0000047664,EUR,% —,—,—%,"128,70",—,—,—,R
BNPPARTPFRN29JUL49D,,,,,,,,,,
KV,FR0000572646,EUR,% —,—,—%,"94,798",—,—,—,R
BNPTMOFRN29OCT49B,,,,,,,,,,
KV,BPCSM | FR0013179223,EUR,"% 97,89","-0,19","-0,19%","98,085","97,89","97,90",12:04:26,R
BPCE3%19JUL2026D,,,,,,,,,,
KV,XS0212581564,EUR,% —,—,—%,"79,00",—,—,—,R
BQ FEDERA FRNPLD,,,,,,,,,,
KV,BS80 | DE0001104909,EUR,"% 99,535","+0,02","+0,02%","99,507","99,50","99,535",17:24:48,R
BUND SCHATZANW. 22/24F,,,,,,,,,,
KV,BS79 | DE0001104891,EUR,"% 99,463","+0,01","+0,01%","99,451","99,45","99,48",17:01:31,R
BUND SCHATZANW. 22/24F,,,,,,,,,,
KV,BS84 | DE000BU22023,EUR,"% 99,945","0,00","0,00%","99,949","99,925","99,96",17:00:08,R
BUND SCHATZANW. 23/25A,,,,,,,,,,
KV,BS82 | DE000BU22007,EUR,"% 99,43","0,00","0,00%","99,423","99,41","99,46",17:00:08,R
BUND SCHATZANW. 23/25F,,,,,,,,,,
KV,BB14 | DE0001135143,EUR,"% 118,788","-0,09","-0,08%","118,883","118,378","118,74",17:10:35,R
BUNDANL.V. 00/30F,,,,,,,,,,
KV,BB17 | DE0001135176,EUR,"% 117,497","-0,06","-0,05%","117,564","117,074","117,53",17:10:35,R
BUNDANL.V. 00/31F,,,,,,,,,,
KV,BB22 | DE0001135226,EUR,"% 119,312","+0,03","+0,03%","119,275","118,684","119,314",17:10:35,R
BUNDANL.V. 03/34F,,,,,,,,,,
KV,BB27 | DE0001135275,EUR,"% 114,309","+0,11","+0,09%","114,198","113,813","114,309",17:10:35,R
BUNDANL.V. 05/37F,,,,,,,,,,
KV,BB32 | DE0001135325,EUR,"% 118,879","+0,15","+0,13%","118,724","118,312","118,881",17:10:35,R
BUNDANL.V. 07/39 IF,,,,,,,,,,
KV,BB36 | DE0001135366,EUR,"% 126,228","+0,13","+0,10%","126,093","125,628","126,228",17:10:35,R
BUNDANL.V. 08/40F,,,,,,,,,,
KV,BB43 | DE0001135432,EUR,"% 107,259","+0,15","+0,14%","107,10","106,527","107,259",17:10:35,R
BUNDANL.V. 10/42F,,,,,,,,,,
KV,BB48 | DE0001135481,EUR,"% 96,445","+0,17","+0,18%","96,266","95,702","96,569",17:10:35,R
BUNDANL.V.12/44F,,,,,,,,,,
KV,BB54 | DE0001102341,EUR,"% 96,363","+0,23","+0,23%","96,133","95,514","96,471",17:10:35,R
BUNDANL.V.14/46F,,,,,,,,,,
KV,BB58 | DE0001102382,EUR,"% 97,735","+0,01","+0,01%","97,716","97,71","97,765",17:00:07,R
BUNDANL.V.15/25F,,,,,,,,,,
KV,BB57 | DE0001102374,EUR,"% 98,325","0,00","0,00%","98,32","98,32","98,33",17:00:06,R
BUNDANL.V.15/25F,,,,,,,,,,
KV,BB60 | DE0001102408,EUR,"% 94,425","0,00","0,00%","94,427","94,34","94,425",17:00:07,R
BUNDANL.V.16/26F,,,,,,,,,,
KV,BB59 | DE0001102390,EUR,"% 96,255","+0,01","+0,01%","96,243","96,21","96,27",17:00:07,R
BUNDANL.V.16/26F,,,,,,,,,,
KV,BB63 | DE0001102424,EUR,"% 93,745","-0,09","-0,09%","93,836","93,668","93,756",17:10:35,R
BUNDANL.V.17/27F,,,,,,,,,,
KV,BB62 | DE0001102416,EUR,"% 93,975","-0,02","-0,02%","93,995","93,905","93,98",17:00:07,R
BUNDANL.V.17/27F,,,,,,,,,,
KV,BB64 | DE0001102432,EUR,"% 74,538","+0,21","+0,28%","74,328","73,803","74,538",17:10:35,R
BUNDANL.V.17/48F,,,,,,,,,,
KV,BB69 | DE0001102481,EUR,"% 50,361","+0,16","+0,33%","50,192","49,608","50,361",17:10:35,R
BUNDANL.V.19/50F,,,,,,,,,,
KV,BB73 | DE0001102507,EUR,"% 86,375","+0,04","+0,05%","86,329","86,193","86,377",17:10:35,R
BUNDANL.V.20/30F,,,,,,,,,,
KV,BB77 | DE0001102556,EUR,"% 89,813","0,00","0,00%","89,805","89,693","89,815",17:10:35,R
BUNDANL.V.21/28F,,,,,,,,,,
KV,BB80 | DE0001102572,EUR,"% 47,955","+0,19","+0,40%","47,763","47,393","48,052",17:10:35,R
BUNDANL.V.21/52F,,,,,,,,,,
KV,BB82 | DE0001102580,EUR,"% 83,265","+0,04","+0,05%","83,223","83,061","83,266",17:10:35,R
BUNDANL.V.22/32F,,,,,,,,,,
KV,BB87 | DE0001102614,EUR,"% 82,094","+0,22","+0,27%","81,866","81,297","82,094",17:10:35,R
BUNDANL.V.22/53F,,,,,,,,,,
KV,BB04 | DE0001135044,EUR,"% 110,795","-0,05","-0,04%","110,849","110,69","110,795",17:00:07,R
BUNDANL.V.97/27F,,,,,,,,,,
KV,BB08 | DE0001135085,EUR,"% 108,107","-0,13","-0,12%","108,244","108,00","108,15",17:10:35,R
BUNDANL.V.98/07.28 IIF,,,,,,,,,,
KV,BO80 | DE0001141802,EUR,"% 99,115","+0,05","+0,05%","99,062","99,04","99,115",17:16:54,R
BUNDESOBL.V.19/24 S.180F,,,,,,,,,,
KV,BO81 | DE0001141810,EUR,"% 97,60","0,00","0,00%","97,604","97,575","97,69",17:02:07,R
BUNDESOBL.V.20/25 S.181F,,,,,,,,,,
KV,BO82 | DE0001141828,EUR,"% 96,325","+0,01","+0,01%","96,307","96,295","96,34",17:00:07,R
BUNDESOBL.V.20/25 S.182F,,,,,,,,,,
KV,BO83 | DE0001141836,EUR,"% 95,165","-0,01","-0,01%","95,177","95,105","95,18",17:00:07,R
BUNDESOBL.V.21/26 S.183A,,,,,,,,,,
KV,ACAMZ | FR0013423753,EUR,"% 85,72","-0,62","-0,72%","86,346","85,72","85,72",14:53:12,R
CASA1.00%26JUL2029C,,,,,,,,,,
KV,ACAMV | FR0013413341,EUR,% —,—,—%,"87,733",—,—,—,R
CASA1.15%7MAY29D,,,,,,,,,,
KV,ACALV | FR0013279635,EUR,% —,—,—%,"92,056",—,—,—,R
CASA1.25%24OCT27D,,,,,,,,,,
KV,ACALY | FR0013327426,EUR,"% 89,50","-1,64","-1,80%","91,144","89,50","89,50",17:01:18,R
CASA1.35%4MAY28D,,,,,,,,,,
KV,ACAMI | FR0013383015,EUR,"% 88,50","-2,23","-2,46%","90,733","88,50","88,50",11:35:58,R
CASA1.5%20DEC2028D,,,,,,,,,,
KV,ACALX | FR0013298155,EUR,% —,—,—%,"91,741",—,—,—,R
CASA1.6%21DEC27D,,,,,,,,,,
KV,ACAMW | FR0013413960,EUR,% —,—,—%,"89,727",—,—,—,R
CASA1.7%7MAY2029D,,,,,,,,,,
KV,ACALG | FR0013192762,EUR,"% 96,61","+0,19","+0,19%","96,419","96,27","96,61",14:52:13,R
CASA2.30%24OCT2026D,,,,,,,,,,
KV,ACALH | FR0013218849,EUR,"% 96,36","-0,57","-0,59%","96,933","96,36","96,36",14:13:27,R
CASA2.50%22DEC2026D,,,,,,,,,,
